Interview_ID,Response,Theme,Subtheme,Respondent_Type,Respondent_Affiliation,Location,Contextual_Clues,Contradictions,Additional_Notes
R1,"The greatest beauty of democracy is the opposition. The opposition is the very essence of democracy. To maintain the fabric of democracy, a strong opposition is crucial.",Democracy_Features,Procedural_Democracy,Government,SP,Uttar_Pradesh,The remark comes from someone who is currently a member of the opposition themselves.,NA,"Field notes corroborate that the respondent put emphatic emphasis on the role of the opposition in democracy, reiterating it multiple times throughout the interview."
R2,"The literal meaning is that the government is selected by the people of the country. That’s the literal meaning of a democracy—where the people of the country elect the government. And you have a system, like the US follows a different presidential system, in India we follow a different political system. Here, we have elections at various levels—from Panchayat level to urban development level and then to the [state] legislative to the Parliament level.",Democracy_Features,Procedural_Democracy,Media,Neutral,Uttar_Pradesh,Respondent draws attention to the US context to explain democracy in India. Also the context of multi-level democracy.,NA,"Textbook definition, but does draw attention to multi-level elections as a constitutive part of democracy."
R2,"But generally, people think that in villages, people don’t understand democracy. I think illiteracy has nothing to do with political literacy. They are more [politically] intelligent, they participate more, and there were leaders who used to say that election is a festival where everybody goes, and with that spirit, they go and they go in groups and vote. So, to say that the illiterate lot, which now has come down drastically, they don’t understand democracy will be wrong. The only thing is that they don’t use the word democracy—for them, it’s the electoral system.",Democracy_Features,Procedural_Democracy,Media,Neutral,Uttar_Pradesh,"The context of class differences in electoral participation is being used to highlight that the understanding of democracy among the masses in India remains tied largely to the act of voting. Additionally, there is the context of an assumed relationship between class and (political) literacy at lower levels.","It may be instructive to note that although the respondent is highlighting the active and intelligent voting behaviour of lower class people, they still use terms like ""the illiterate lot"" to refer to them, thus still exhibiting certain preconceived notions.","Field notes indicate that the respondent was moderately passionate about ""correcting"" a popular misconception regarding democratic awareness amongst poor people."
R11,"Then, democracy is also about how competitive and open it is. It means that the bar should not be too high for the entry of new political forces. For example, in the period from 1989 to 2014, of coalition governments, at that time, the bar was a little lower. It allowed a number of political parties and groups to contest elections, get space in government or power. After 2014, it has shrunk at the national level...For democracy to survive, you need fierce, competitive politics.",Democracy_Features,Procedural_Democracy,Media,Neutral,India,The respondent refers to coalition governments as a political and historical context in which the entry barriers were lower and democratic competition was higher.,NA,Highlights features as well as trends in democracy.
R11,"But of course, party politics and ideology is also important in democracy. But it must be very competitive, it must be very diverse and plural in nature. So, it seems to me that democracy means it’s an evolving system.",Democracy_Features,Procedural_Democracy,Media,Neutral,India,References to the importance of party politics and ideology; frames democracy in the context of its evolution.,NA,Highlights diversity and pluralism of political competition as additional features of democracy.
R11,"It is true that a prominent feature of India's democracy is that it has five-yearly elections, which is credited with the fact that elections are held regularly and are largely free and fair, except in some states. Conducting free and fair elections every five years and changing the government without shedding any blood or violence is the biggest achievement of Indian democracy.",Democracy_Features,Procedural_Democracy,Media,Neutral,India,Context of elections being free and fair in more states than not.,NA,Highlights free and fair elections as well as peaceful transfer of power as achievements of democracy.
R12,"Democracy whatever it means to you, same thing to me—government of the people, for the people, by the people. It’s a cliche definition, but that’s what it is. This means, I don't have a separate, individual, unique definition for India. It's the people's government. It should be for people, and they should have the last word in its formation and in its policies.",Democracy_Features,Procedural_Democracy,Bureaucrat,Neutral,Delhi,NA,NA,NA
R12,"The role of elections is very important, no doubt. Without elections there is no democracy. But one thing has to be understood: a good election is not a guarantee of good democracy.",Democracy_Features,Procedural_Democracy,Bureaucrat,Neutral,Delhi,NA,NA,"Respondent does note that while elections may be a necessary condition of democracy, they are not sufficient for normatively ""good"" democracy."
R13,"The periodic elections every five years inspire immense public trust. The people believe that if the government they elected does not perform well, they can replace it in five years. This belief has significantly shaped our democracy.",Democracy_Features,Procedural_Democracy,Party,BJP,Uttarakhand,There is an implicit context of performance assessment of the government by the public in democracy.,NA,The regular nature of elections and turnover highlighted as features of democracy.
R14,"Democracy, in essence, means freedom and the ability to make choices. Every five years, elections are held where people can freely choose their representatives, whether MPs at the national level or MLAs at the state level. When MLAs are elected, they form the state government if they achieve a majority. Similarly, MPs elected across the country form the central government. The party with the majority selects the Prime Minister. In a democracy, the most significant power lies in the vote, which is given by the people. The public places its trust in individuals or parties they believe will work for their benefit. They elect them, whether for an MP or MLA position. This is the essence of democracy: empowering the people to choose their representatives and place them in positions of responsibility.",Democracy_Features,Procedural_Democracy,Government,BJP,Uttarakhand,Context of elections at the state level and the national level in democracy.,NA,"Again, textbook definition, but the second person to draw attention to multi-level elections as a constitutive part of democracy."
R14,"The security of democracy lies in people using their votes impartially. It should not be that democracy is showcased as an illusion, while the process of voting is not transparent. It is often heard that people lose trust in the system. It is essential that voting is conducted impartially, without any manipulation. The decision made by the public must be reflected on the ground.",Democracy_Features,Procedural_Democracy,Government,BJP,Uttarakhand,"There is a broader context of elections or votes being manipulated or not remaining ""impartial"", but it is hard to decipher what constitutes impartiality to the respondent.","The victory of the BJPs counts as ""impartial"" voting to the respondent since it reflects the decision made by the public on the ground. At the same time, they allege that the opposition in certain other states are not transparent or impartial with conducting their voting process.","On the one hand, it is highlighting transparency and fairness in elections as necessary for sustaining trust in democracy. On the other hand, it is unclear what actually meets those criteria."
R17,"Look, democracy means ""of the people, for the people."" It is a system where people are directly involved in governance. It is what we call ""Janatantra"" — a government of the people. The public elects their representatives, those representatives then run the government, and that government works for the welfare of the people. Basically, it’s a cycle.",Democracy_Features,Procedural_Democracy,Government,BJP,Uttarakhand,There is an implicit context of the government working for the welfare of the people in a democracy.,NA,Second person to echo the exact Lincolnian definition of democracy.
R19,"The establishment of democracy in our country is in accordance with the Constitution. In a democracy, people vote to elect their government, and the government, once elected, works for the welfare of the people. You could say it is a system of governance chosen by the people for the people.",Democracy_Features,Procedural_Democracy,Government,INC,Uttarakhand,"Again, there is an implicit context of the government working for the welfare of the people in a democracy.",NA,Echoes almost the exact same sentiments as well as phrasing of R17. Third person to join in the Lincolnian definition of democracy. 
R22,"The word ""loktantra"" is a sacred term. In English, we call it ""democracy,"" and in Hindi, loktantra means governance by the people. It is built with the participation of the people, and respecting the sentiments of the people is the most important aspect of democracy because it is created by their votes.",Democracy_Features,Procedural_Democracy,Party,INC,Uttarakhand,NA,NA,Draws attention to the participation of the people in democracy.
R4,"Since I come from a village, I see that the real meaning of democracy, as envisioned in our Constitution, lies in concepts like Gram Swaraj (village self-rule) and the Panchayati Raj system. These are considered the essence of democracy.",Democracy_Features,Substantive_Democracy,Media,Neutral,India,Context of village background.,NA,"A very bottom-up, decentralised understanding of democracy. Third person to do so."
R4,"What is the essence of the democratic process? It is to convert the population into citizens. If we were to define democracy in one line, it would be: turning the population into active citizens. As citizens, people have both duties and rights—responsibilities and entitlements.",Democracy_Features,Substantive_Democracy,Media,Neutral,India,Context of citizenship and fundamental rights and duties as defined in the Constitution.,NA,Democracy defined as the substantive process of governmentality almost.
R5,"For me, democracy is exactly what is defined in our Constitution—whatever the Constitution says about fundamental rights, duties, and democracy. If you ask me whether I agree with this definition of democracy, I would say, for me, democracy is whatever is written in the Indian Constitution.",Democracy_Features,Substantive_Democracy,Media,Neutral,India,Context of fundamental rights and duties as defined in the Constitution.,NA,NA
R6,"The meaning of democracy is that every person, regardless of their political party, caste, or religion, should have the opportunity to act according to their own will.",Democracy_Features,Substantive_Democracy,Government,JMM,Jharkhand,NA,NA,Democracy as freedom.
R6,"Democracy is a form of governance, a system, a structure that, in today's time, exists as a constitutional arrangement. However, it is not just a social system. You see, there are two distinct entities—the state and society. Society has its own order, while the state has its own governance and administration. Democracy is a way of governance, but it is also a way of life. Specifically, when we speak of democracy in the social order, we must consider it from the perspective of democratic culture and constitutional principles.",Democracy_Features,Substantive_Democracy,Government,JMM,Jharkhand,NA,NA,Juxtaposition of a constitutional and a cultural understanding of democracy.
R6,"When I was young, I saw how, if a wedding took place in a village, the entire village would take collective responsibility for it. Nothing was brought from outside. Whether it was milk, buttermilk, or other necessities, everything was contributed by the people of the village. Everyone shared their belongings—beds, mattresses, household items—willingly. In my childhood, I remember how we would go door to door collecting beds and mattresses for weddings. The entire event was organized without any marketplace involvement. Everything was done through mutual cooperation. This cooperative way of life, where work was done with mutual consent and collective effort, was in itself democracy. In today's democracy, decision-making is based on a majority, but in earlier times, decisions were based on consensus. There was no concept of voting with a show of hands; rather, if a consensus could not be reached, there was acceptance (sweekriti), even if not complete agreement (sahmati). If there were ten people in a discussion, and eight agreed while two disagreed, the two would not resist but would say, ""We do not fully agree, but we accept the decision."" There was no culture of outright opposition; rather, it was about mutual acceptance.",Democracy_Features,Substantive_Democracy,Government,JMM,Jharkhand,Context of village background.,NA,"Democracy as cooperation, consensus, and mutual acceptance. Emphasises the lack of ""outright opposition"", which is interesting coming from a member of the opposition themselves.  "
R6,"This is the essence of democracy: a system where dialogue is possible, where open discussions take place, where thoughts are exchanged, and where decisions are made collectively. Democracy means that people engage in discussion (vichar), make decisions (nirnay), and then implement those decisions (kriya). These three elements—discussion, decision, and action—define governance. The same applies to the government.",Democracy_Features,Substantive_Democracy,Government,JMM,Jharkhand,NA,NA,The same respondent is now highlighting a deliberative understanding of democracy.
R6,"In reality, the existence of all entities lies within democracy itself. If we look at it closely, everyone’s existence is sustained through democracy, and any crisis in democracy is a crisis for everyone’s existence. Broadly speaking, democracy grants you the right to make decisions within your own sphere. That is its fundamental essence. It guarantees social, economic, and political justice, provides freedom of worship, freedom of residence, opportunities, and dignity. This is what democracy is. In the Indian Constitution, it is expressed in the form of justice, liberty, and equality. But this is not just a concept of the Indian Constitution; it is deeply embedded in Indian culture.",Democracy_Features,Substantive_Democracy,Government,JMM,Jharkhand,NA,NA,"Back to the understanding of democracy as freedom and justice, and as a juxtaposition of constitution and culture."
