Interview_ID,Response,Respondent_Type,Respondent_Affiliation,Location,States_Mentioned,Variables_Referenced,Relationship_Type,Direction_of_Effect,Causal_Path,Channel,Outcome_Reference,Importance_Rating
R1,"When the central and state governments are aligned—like when the Bharatiya Janata Party (BJP) is in power at both levels—the coordination is good. But where they are not aligned, things don’t work out. For instance, the central government can withhold funds or block the state budgets. If a state doesn’t follow the central government’s directions, they won’t release the funds. If they go along with what the BJP say, things might go smoothly for a while. But the biggest issue is this: if we don’t give you the budget, how will you drive development? And if you can’t deliver development, you’ll inevitably fall behind compared to other regions. And once you lag behind, we’ll (the BJP) come back during the next elections, show people dreams, and form our government again. The primary tactic is withholding the budget—without funds, development halts, and everything else falls apart. It has a huge impact—an enormous impact. Without a budget, what can you achieve in the country? If you don’t allocate a budget for education, healthcare, or even sports, how can democracy function there?",Government,SP,Uttar_Pradesh,OppositionStates,PartyRule;FiscalDependence;EconomicDevelopment,Causal;Mediating;Mediating,DecreasesDemocracy,Opposition rule -> withheld central funds -> stunted development -> subnational backsliding,Economic,OutcomeBacksliding,4
R2,"[Do you think that the practice of democracy differs from one Indian state to another?] In theory, they don’t differ. In a democratic set-up, you have the same elections, and these are held across India. But you have different parties. Hundreds of regional parties—recognized ones. Thousands of unrecognized regional parties. So, the outcome of democracy differs.",Media,Neutral,Uttar_Pradesh,OppositionStates,PartyRule,Descriptive,Both,Multiple elections -> multiple parties competing -> different outcomes of democracy,Electoral,NA,2
R2,"[Is there then a difference between BJP-ruled states and Opposition-ruled states?] A bit. In theory, no. But yes, practically, the way the state votes in a BJP-ruled state corresponds to their idea of the “double-engine” government, it will be different from the opposition states…But the people who are voting for the BJP are voting for Narendra Modi, Hindutva, and they think that he is the ONE who can deliver his leadership at the national and the international level. That’s who the people are voting for. When we come to the opposition group, it is largely formed by Muslims who are against him on Hindutva on the temple movement and the liberal Hindus, who think religion is something that should be practiced at home and one should mix religion into politics. Then there is the matter of identity. Like Yadavs will vote for Akhilesh in UP and Lalu in Bihar. Dalits, there are so many sub-castes, will vote for Mayawati.",Media,Neutral,Uttar_Pradesh,OppositionStates;BJPStates,PartyRule,Mechanism,DecreasesDemocracy,BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,NA,3
R2,"West Bengal is an example that comes to mind. It is a state that values its autonomy. She [Mamta Bannerjee] did not allow ED (Enforcement Directorate controlled by the centre) to enter her state at one point. [Laughs]. Even, I think, there is some conflict between Tamil Nadu, Telangana under Chandrashekar, where they protested the centre. Opposition states generally have reasons to complain that the centre is biased, and they don’t get funds. But this I told you earlier also. When you’re on the same page it is smooth sailing.",Media,Neutral,Uttar_Pradesh,West_Bengal;Telangana;Tamil_Nadu;OppositionStates,PartyRule;SubnationalAutonomy;FiscalDependence;Mobilization,Causal;Causal;Mediating;Mediating,IncreasesDemocracy,Opposition rule -> withheld central funds -> mobilize against centre -> subnational stability;State values autonomy -> more likely to resist central influences -> subnational stability,Mobilization;Economic,NA,4
R5,"Another possibility [of democratic preservation] is that a political party emerges that claims to work solely on this issue and, if it succeeds in winning over the people, then maybe change can happen. Look, there was once a party that came to power on the promise of fighting corruption—it was called the Aam Aadmi Party. As soon as it entered politics in India, it caused an uproar. But the moment it became involved in the political system, it became just like the other parties. Even it couldn’t save itself. A long time ago, when we were young, a political party had emerged where all its members were students. The person who became Chief Minister was named Prafulla Mahanta. He was a student leader at Guwahati University at the time. But what happens is that our roots have already been so deeply entangled, so deeply corrupted, that it will take a very long time to straighten them out. And who knows whether they will ever be straightened out at all.",Media,Neutral,India,OppositionStates,PartyRule;Mobilization,Causal;Mediating,IncreasesDemocracy,Opposition rule -> favours democratic values -> mobilize against centre -> subnational stability,Mobilization;Electoral,OutcomeStability,3
R5,"The political process in our country, from the very beginning, was divided on the basis of religion. The day before India gained independence, we were already divided on religious grounds. Then, instead of focusing on development, our primary concern became Pakistan. Even today, if I ask people in my program about the key issues that influence their vote, I find very few who are what we call ""floating voters."" In India, it is estimated that only 10% of voters fall into this category—those who decide based on what facilities they have received or not received. But 90% of voters make their decisions based on identity rather than governance. It is a simple fact. If someone is Muslim, they will not vote for Narendra Modi, they will not vote for the BJP. The reason is straightforward—because when Modi asks for votes, what does he invoke? Temples, the name of Lord Ram, the chant of ‘Jai Shri Ram.’",Media,Neutral,India,BJPStates,PartyRule,Mechanism,DecreasesDemocracy,BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,NA,2
R6,"See, at one point, there was a ""double-engine"" government. In 2014, the BJP was in power both at the state and central levels, so at that time, both governments worked together. But Jharkhand has always faced exploitation because of its mineral wealth. Despite the fact that the state provides a large share of the country’s minerals, the central government has not given it the royalty payments it is owed. A huge amount—around ₹1.36 lakh crore—is still pending. Similarly, under the Pradhan Mantri Awas Yojana, Jharkhand needed 8 lakh more houses, and our Chief Minister repeatedly requested funds, but they were not provided. However, Uttar Pradesh received the funds. Since the current state government here is not from the ruling party at the center, there has been significant discrimination by the central government—this is an accusation that has been made multiple times. So, our Chief Minister launched a separate housing scheme at the state level. He announced that instead of waiting for funds from the central government, the state government would build homes for the poor, and not only that, but they would be three times bigger than the Pradhan Mantri Awas Yojana homes, with three-bedroom houses being provided. So, there is definitely some level of discrimination by the central government in resource allocation when a state government belongs to the opposition party.",Government,JMM,Jharkhand,Jharkhand;OppositionStates,PartyRule;FiscalDependence;SubnationalAutonomy;EconomicDevelopment,Causal;Mediating;Mediating;Mediating,IncreasesDemocracy,Opposition rule -> withheld central funds -> autonomy to initiate own development -> subnational stability,Economic,OutcomeStability,3
R6,"I can’t speak too much about other states, because in some places, people are very fickle-minded. If you look at Bihar, for example, what’s happening there? Everything changes so quickly. One day someone is in the BJP, the Chief Minister moves there, then the next day they ally with the RJD to form the government, and then they go back to the BJP. It feels like these changes are only for self-interest—wherever they see personal gain, they shift sides. But look at our state. Our Chief Minister is facing ED raids and all kinds of pressure, yet he is standing firm. He is saying, ""No, we will stick to our ideology. We will not bow down, we will not compromise."" This kind of steadfastness is essential for a healthy democracy.",Government,JMM,Jharkhand,Jharkhand;Bihar;OppositionStates,PartyRule;SubnationalAutonomy,Causal;Mediating,IncreasesDemocracy,Opposition rule -> increased central pressures -> assertions of subnational autonomy  -> subnational stability,Mobilization,OutcomeStability,3
R6,"See, this is like the saying about the Delhi sweet—whether you eat it or not, you will regret it either way. It is the same with this issue. If you have a double-engine government, then small regional parties, which I previously mentioned are crucial for preserving culture, language, and identity, may struggle. But these regional parties are essential because they help ensure that local identities and cultural heritage are safeguarded. They provide representation for local issues, help communities progress, and can even rise to positions in ministries at the national level. However, the downside is that when different parties govern the center and the state, the central government often discriminates against the state government. Regardless of which party is in power, there is always an attempt to withhold resources from opposition-led state governments because the ruling party at the center fears that if the opposition-led state government is given enough support, it will gain strength, perform well, and make it harder for the central ruling party to win elections in that state. So, both systems have their advantages and disadvantages. A double-engine government can ensure smoother governance and resource allocation, but it can also weaken regional parties and local representation. On the other hand, a government where states maintain autonomy is crucial for preserving diverse cultures and identities, but it often leads to friction with the central government, which can result in discrimination in the allocation of resources.",Government,JMM,Jharkhand,OppositionStates,PartyRule;SubnationalAutonomy,Causal;Causal,IncreasesDemocracy,Desire for subnational autonomy -> rise of regional parties -> challenge the ruling party -> preservation of regional culture and aspirations -> subnational stability,Electoral,OutcomeStability,4
R6,"The state does want democracy to survive, but secular parties want it even more because secular parties work with everyone. The culture of our country was not built in a single day; it has evolved over centuries. The French, Dutch, Portuguese, Mughals, Pathans, and British all came here for trade and then settled here. Not everyone went back. Their languages, cultures, and traditions merged into ours, and over time, everything became interconnected. In some cases, even their distinct identities faded, and it became impossible to distinguish where they originally came from. That is why our Constitution grants equal status to all languages, all religions, and all castes. If democracy is threatened, then all of these groups will be at risk. If democracy is lost, they will face significant challenges. Take, for instance, Pakistan or other Muslim-majority countries—minority religions in those countries have to endure a lot. This is why democracy is essential. Our Constitution ensures that all castes, religions, and economic classes—whether rich or poor—are treated equally under the law and enjoy the same rights and opportunities. The moment democracy is threatened, minority groups will start facing hardships. If, for example, India were to become a Hindu Rashtra, minorities here would suffer in the same way that Hindus in Pakistan do.",Government,JMM,Jharkhand,OppositionStates,PartyRule,Mechanism,IncreasesDemocracy,Opposition rule -> favours democratic values -> subnational stability,Electoral,NA,2
