Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
1,Indian National Congress (I),492,353,115,23,"8,44,55,313",42.70%
2,Janta Party (SECULAR),294,41,65,124,"1,86,11,590",9.40%
3,Communist Party Of India (MARXIST),64,37,17,5,"1,23,52,331",6.20%
4,Janta Party,432,31,218,155,"3,74,93,334",19%
5,Dravida Munetra Kazhagam,16,16,0,0,"42,36,537",2.10%
6,Indian National Congress (U),212,13,40,69,"1,04,49,859",5.30%
7,Communist Party Of India,47,10,14,15,"49,27,342",2.50%
8,Independent,2826,9,11,103,"1,27,17,510",6.40%
9,Revolutionary Socialist Party,8,4,1,0,"12,85,517",0.60%
10,All India Forward Bloc,21,3,1,0,"10,11,564",0.50%
11,Jammu & Kashmir National Conference,5,3,2,0,"4,93,143",0.20%
12,All India Anna Dravida Munnetra Kazhagam,24,2,22,0,"46,74,064",2.40%
13,Muslim Leage,5,2,0,1,"4,75,507",0.20%
14,Shiromani Akali Dal,7,1,6,0,"13,96,412",0.70%
15,Kerala Congress,2,1,1,0,"3,56,997",0.20%
16,Jharkhand Party,22,1,0,2,"2,54,520",0.10%
17,Maharashtrawadi Gomantak,2,1,1,0,"1,27,188",0.10%
18,Sikkim Janata Parishad,1,1,0,0,"31,750",0%
19,Peasants & Workers Party,5,0,4,0,"4,70,567",0.20%
20,Republican Party Of India (KHOBRAGADE),25,0,2,3,"3,83,022",0.20%
21,Republican Party Of India,32,0,1,7,"3,51,987",0.20%
22,Socialist Unity Centre Of India,18,0,0,7,"3,07,224",0.20%
23,All India Muslim League,1,0,1,0,"1,96,820",0.10%
24,United Democratic Front,1,0,1,0,"1,40,210",0.10%
25,Shiv Sena,2,0,0,2,"1,29,351",0.10%
26,Tripura Upajiti Juba Samiti,2,0,0,2,"1,11,953",0.10%
27,Peoples Party Of Arunachal,2,0,2,0,"69,810",0%
28,Akhil Bharatiya Ram Rajya Parishad,21,0,0,0,"61,161",0%
29,Peoples Conference,1,0,1,0,"53,891",0%
30,Manipur Peoples Party,1,0,0,1,"49,277",0%
31,Bharatiya Socialist Party,16,0,0,1,"39,399",0%
32,Shoshit Samaj Dal (AKHIL BAHARATIYA),8,0,0,0,"38,226",0%
33,Muslim Majlis Uttar Pradesh,4,0,0,0,"26,363",0%
34,All India Labour Party,7,0,0,0,"14,720",0%
35,All Party Hill Leaders Conference,1,0,1,0,"13,058",0%
36,Sikkim Congress (R),1,0,1,0,"11,632",0%
37,Sikkim Prajatantra Congress,1,0,0,1,"5,125",0%
