Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes,Valid Votes Contested,AC Leads,AC Second,AC Third
1,Bharatiya Janta Party,339,182,112,39,"8,65,62,209",23.80%,38.80%,1217,864,351
2,Indian National Congress,453,114,216,69,"10,31,20,330",28.30%,33.30%,1072,1592,546
3,Communist Party Of India (MARXIST),72,33,16,15,"1,96,95,767",5.40%,34.60%,242,156,93
4,Telugu Desam,34,29,5,0,"1,32,97,370",3.60%,48.60%,162,75,1
5,Samajwadi Party,151,26,23,28,"1,37,17,021",3.80%,14%,130,99,184
6,Janata Dal (United),60,21,13,10,"1,12,82,084",3.10%,27.50%,116,99,82
7,Shiv Sena,63,15,4,8,"56,72,412",1.60%,14.20%,76,31,52
8,Bahujan Samaj Party,225,14,17,92,"1,51,75,845",4.20%,9.80%,95,90,597
9,Dravida Munetra Kazhagam,19,12,7,0,"62,98,832",1.70%,46.90%,74,39,1
10,All India Anna Dravida Munnetra Kazhagam,29,10,14,0,"70,46,953",1.90%,33.70%,62,82,2
11,Biju Janata Dal,12,10,2,0,"43,78,536",1.20%,57.60%,74,9,1
12,All India Trinamool Congress,29,8,17,4,"93,63,785",2.60%,38.50%,67,123,33
13,Nationalist Congress Party,132,8,10,38,"82,60,311",2.30%,9.30%,79,74,275
14,Rashtriya Janata Dal,61,7,27,1,"1,01,50,492",2.80%,24.60%,71,131,15
15,Independent,1945,6,9,57,"99,96,386",2.70%,3.10%,90,161,500
16,Pattali Makkal Katchi,8,5,3,0,"23,77,741",0.70%,45%,35,26,11
17,Indian National Lok Dal,5,5,0,0,"20,02,700",0.50%,59%,44,1,0
18,Communist Party Of India,54,4,8,20,"53,95,119",1.50%,15%,45,55,154
19,Marumalarchi Dravida Munnetra Kazhagam,5,4,1,0,"16,20,527",0.40%,44.70%,18,12,0
20,Jammu & Kashmir National Conference,6,4,2,0,"4,54,481",0.10%,27.90%,43,25,11
21,Revolutionary Socialist Party,5,3,1,0,"15,00,817",0.40%,35.80%,22,5,1
22,Shiromani Akali Dal,9,2,7,0,"25,02,949",0.70%,39.50%,22,54,5
23,Rashtriya Lok Dal,15,2,3,1,"13,64,030",0.40%,14.10%,14,8,7
24,All India Forward Bloc,15,2,1,0,"12,88,060",0.40%,12.50%,14,7,1
25,Muslim League Kerala State Committee,12,2,0,0,"8,33,562",0.20%,8.70%,13,1,0
26,Akhil Bhartiya Lok Tantrik Congress,4,2,1,1,"8,18,713",0.20%,32.50%,10,7,2
27,Janata Dal (Secular),96,1,4,30,"33,32,702",0.90%,5%,7,38,205
28,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),56,1,1,12,"12,20,698",0.30%,3.10%,7,6,67
29,Bharipa Bahujan Mahasangh,4,1,2,1,"6,92,559",0.20%,29.70%,5,15,4
30,All India Majlis-E-Ittehadul Muslimoon,1,1,0,0,"4,48,165",0.10%,41.40%,4,0,3
31,M.G.R.Anna D.M.Kazhagam,1,1,0,0,"3,96,216",0.10%,50.70%,5,1,0
32,Kerala Congress,1,1,0,0,"3,65,313",0.10%,46.90%,5,2,0
33,Kerala Congress(M),1,1,0,0,"3,57,402",0.10%,51.60%,7,0,0
34,Shiromani Akali Dal (SIMRANJIT SINGH MANN),1,1,0,0,"2,98,846",0.10%,41.70%,7,1,1
35,Samajwadi Janata Party (RASHTRIYA),14,1,0,1,"2,97,337",0.10%,3.60%,5,0,6
