Number,Party,Total_Contestants,Won,Second,Third,Party_Votes,Valid_Votes_Percent,Valid_Votes_Contested,AC_Leads,AC_Second,AC_Third
1,Bharatiya Janta Party,441,240,153,41,"23,59,73,935",36.90%,45.30%,0,0,0
2,Indian National Congress,328,99,167,59,"13,67,59,064",21.40%,34.90%,0,0,0
3,Samajwadi Party,71,37,24,1,"2,95,49,381",4.60%,37.20%,0,0,0
4,All India Trinamool Congress,48,29,13,3,"2,82,13,393",4.40%,42.20%,0,0,0
5,Dravida Munnetra Kazhagam,22,22,0,0,"1,17,54,710",1.80%,47.80%,0,0,0
6,Telugu Desam,17,16,1,0,"1,27,75,270",2%,55.30%,0,0,0
7,Janata Dal (United),16,12,4,0,"80,39,663",1.30%,46.70%,0,0,0
8,Shiv Sena (Uddhav Balasaheb Thackrey),21,9,10,2,"95,67,779",1.50%,40.50%,0,0,0
9,Nationalist Congress Party – Sharadchandra Pawar,12,8,3,0,"59,21,162",0.90%,41.70%,0,0,0
10,Independent,3906,7,5,77,"1,77,92,407",2.80%,2.80%,0,0,0
11,Shiv Sena,15,7,8,0,"74,01,447",1.20%,43.10%,0,0,0
12,Lok Janshakti Party(Ram Vilas),5,5,0,0,"28,10,250",0.40%,52.90%,0,0,0
13,Yuvajana Sramika Rythu Congress Party,25,4,21,0,"1,33,16,039",2.10%,40%,0,0,0
14,Communist Party Of India (Marxist),52,4,17,23,"1,13,42,553",1.80%,17.70%,0,0,0
15,Rashtriya Janata Dal,24,4,18,2,"1,01,07,402",1.60%,39.50%,0,0,0
16,Aam Aadmi Party,22,3,13,6,"71,47,800",1.10%,29.40%,0,0,0
17,Jharkhand Mukti Morcha,6,3,2,1,"26,52,955",0.40%,37.60%,0,0,0
18,Indian Union Muslim League,3,3,0,0,"17,16,186",0.30%,53.60%,0,0,0
19,Communist Party Of India,30,2,4,7,"31,57,184",0.50%,9.20%,0,0,0
20,Janata Dal (Secular),3,2,1,0,"21,73,701",0.30%,52.40%,0,0,0
21,Communist Party Of India (Marxist-Leninist) (Liberation),7,2,2,0,"17,36,771",0.30%,20.60%,0,0,0
22,Janasena Party,2,2,0,0,"14,54,138",0.20%,55.70%,0,0,0
23,Jammu & Kashmir National Conference,3,2,1,0,"11,47,041",0.20%,42.20%,0,0,0
24,Viduthalai Chiruthaigal Katchi,13,2,0,0,"9,90,237",0.20%,6%,0,0,0
25,Rashtriya Lok Dal,2,2,0,0,"8,93,460",0.10%,45.90%,0,0,0
26,Nationalist Congress Party,5,1,3,1,"20,59,179",0.30%,40.50%,0,0,0
27,Shiromani Akali Dal,13,1,0,0,"18,14,318",0.30%,13.50%,0,0,0
28,All India Majlis-E-Ittehadul Muslimeen,15,1,1,2,"14,00,215",0.20%,8.40%,0,0,0
29,Asom Gana Parishad,2,1,0,1,"12,98,707",0.20%,31.60%,0,0,0
30,Bharat Adivasi Party,22,1,0,6,"12,57,056",0.20%,4.50%,0,0,0
31,Apna Dal (Soneylal),2,1,1,0,"8,08,245",0.10%,38.80%,0,0,0
32,Aazad Samaj Party (Kanshi Ram),26,1,0,1,"6,91,820",0.10%,2.10%,0,0,0
33,Rashtriya Loktantrik Party,1,1,0,0,"5,96,955",0.10%,48.50%,0,0,0
34,Revolutionary Socialist Party,10,1,0,2,"5,87,363",0.10%,4.50%,0,0,0
35,Voice Of The People Party,1,1,0,0,"5,71,078",0.10%,55.60%,0,0,0
36,Marumalarchi Dravida Munnetra Kazhagam,1,1,0,0,"5,42,213",0.10%,52%,0,0,0
37,Hindustani Awam Morcha (Secular),1,1,0,0,"4,94,960",0.10%,52.30%,0,0,0
38,United Peoples Party Liberal,1,1,0,0,"4,88,995",0.10%,39.80%,0,0,0
39,Ajsu Party,3,1,0,0,"4,58,677",0.10%,12.60%,0,0,0
40,Kerala Congress,1,1,0,0,"3,64,631",0.10%,44.20%,0,0,0
41,Zoram People’s Movement,1,1,0,0,"2,08,552",0%,42.60%,0,0,0
42,Sikkim Krantikari Morcha,1,1,0,0,"1,64,396",0%,43%,0,0,0
43,Bahujan Samaj Party,488,0,2,190,"1,31,53,818",2.10%,2.30%,0,0,0
44,Biju Janata Dal,21,0,21,0,"94,13,379",1.50%,38%,0,0,0
45,All India Anna Dravida Munnetra Kazhagam,36,0,24,9,"89,52,587",1.40%,23%,0,0,0
